Wall time,Step,Value
1611176313.0017707,26671,0.4381093382835388
1611176388.198774,26798,0.46845531463623047
1611176388.789158,26799,0.5176798701286316
1611176405.9536803,26828,0.46042943000793457
1611176407.1460419,26830,0.5304368734359741
1611176465.7538016,26929,0.45773935317993164
1611176592.33446,27143,0.6467835903167725
1611176595.8984776,27149,0.5232110619544983
1611176599.4485261,27155,0.45167189836502075
1611176601.8101158,27159,0.44612017273902893
1611176602.398448,27160,0.4734850525856018
1611176670.4565988,27275,0.5031376481056213
1611176807.3742192,27506,0.4825698733329773
1611176865.3560445,27604,0.6123369932174683
1611176871.2825544,27614,0.4339147210121155
1611176875.4408584,27621,0.4418889880180359
1611176886.0731034,27639,0.5932319164276123
1611176945.731307,27740,0.5111528635025024
1611176996.1518762,27826,0.46774953603744507
1611177050.1371663,27917,0.3251204192638397
1611177051.355525,27919,0.498873770236969
1611177070.4341018,27951,0.48185527324676514
1611177081.0703065,27969,0.4783523678779602
1611177249.2152922,28252,0.499637246131897
1611177264.5992286,28278,0.498074471950531
1611177290.5615883,28322,0.5387735366821289
1611177359.2801166,28439,0.4523223638534546
1611177366.8970187,28452,0.3717237710952759
1611177421.2264924,28544,0.4936482310295105
1611177438.3942754,28573,0.4306035339832306
1611177461.4881024,28612,0.4513012170791626
1611177673.2539835,28971,0.4893498718738556
1611177688.7365634,28997,0.5735780596733093
1611177701.743732,29019,0.39166364073753357
1611177713.0170565,29038,0.5544625520706177
1611177727.8428047,29063,0.5130999088287354
1611177737.290588,29079,0.5213996767997742
1611177810.055241,29202,0.4141194820404053
1611177846.795541,29264,0.481664776802063
1611177969.4762504,29472,0.520960807800293
1611177973.62229,29479,0.566486656665802
1611177978.9441845,29488,0.40369102358818054
1611178008.5530708,29538,0.5326611995697021
1611178010.3328736,29541,0.40561145544052124
1611178022.8823075,29562,0.47459372878074646
1611178041.3415396,29593,0.4616931080818176
1611178052.5823445,29612,0.4417968988418579
1611178133.4301023,29748,0.5424644947052002
1611178181.4090476,29829,0.542366623878479
1611178182.0023403,29830,0.3407972753047943
1611178283.1888497,30001,0.4916921854019165
